Country,State,Date,Sex,Age,Deaths
USA,Mississippi,2020-09-26,f,5,0
USA,Mississippi,2020-09-26,f,15,5
USA,Mississippi,2020-09-26,f,25,13
USA,Mississippi,2020-09-26,f,35,37
USA,Mississippi,2020-09-26,f,45,93
USA,Mississippi,2020-09-26,f,55,202
USA,Mississippi,2020-09-26,f,65,286
USA,Mississippi,2020-09-26,f,75,340
USA,Mississippi,2020-09-26,f,85,412
USA,Mississippi,2020-09-26,f,TOT,1388
USA,Mississippi,2020-09-26,m,0,0
USA,Mississippi,2020-09-26,m,1,0
USA,Mississippi,2020-09-26,m,5,0
USA,Mississippi,2020-09-26,m,15,6
USA,Mississippi,2020-09-26,m,25,14
USA,Mississippi,2020-09-26,m,35,35
USA,Mississippi,2020-09-26,m,45,87
USA,Mississippi,2020-09-26,m,55,214
USA,Mississippi,2020-09-26,m,65,392
USA,Mississippi,2020-09-26,m,75,383
USA,Mississippi,2020-09-26,m,85,247
USA,Mississippi,2020-09-26,m,TOT,1378
USA,Missouri,2020-09-26,b,TOT,2014
USA,Missouri,2020-09-26,f,0,0
USA,Missouri,2020-09-26,f,1,0
USA,Missouri,2020-09-26,f,5,0
USA,Missouri,2020-09-26,f,15,2
USA,Missouri,2020-09-26,f,25,6
USA,Missouri,2020-09-26,f,35,12
USA,Missouri,2020-09-26,f,45,25
USA,Missouri,2020-09-26,f,55,86
USA,Missouri,2020-09-26,f,65,174
USA,Missouri,2020-09-26,f,75,246
USA,Missouri,2020-09-26,f,85,466
USA,Missouri,2020-09-26,f,TOT,1017
USA,Missouri,2020-09-26,m,0,0
USA,Missouri,2020-09-26,m,1,0
USA,Missouri,2020-09-26,m,5,0
USA,Missouri,2020-09-26,m,15,1
