State,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Maine,m,75,2020-03-15,0,0.4483690251763619,0.4483690251763619,2915.52700778924
Maine,m,75,2020-04-15,0,-19.559603547671827,0.4483690251763619,5839.270297060257
Maine,m,75,2020-05-15,0,-34.0605446109534,0.4483690251763619,8771.157441420648
Maine,m,75,2020-06-15,0,-34.69698807961933,0.4483690251763619,11711.126620637526
Maine,m,75,2020-07-15,0,-23.42287830741074,11.722478797384952,14659.126620637526
Maine,m,75,2020-08-15,0,-18.962750863573063,16.18260624122263,17615.13155044714
Maine,m,75,2020-09-15,0,-12.18682507119155,22.958532033604143,20579.19970995414
Maine,m,75,2020-10-15,0,-28.46887248523609,22.958532033604143,23551.48830684794
Maine,m,75,2020-11-15,0,-1.081081051480254,50.34632346735998,26532.253456619557
Maine,m,75,2020-12-15,0,27.246287447679038,78.67369196651927,29521.85018256166
Maine,m,75,2021-01-15,45.14456620198837,72.3908536496674,123.81825816850764,32520.732415768525
Maine,m,75,2021-02-15,45.14456620198837,30.3708332434297,123.81825816850764,35529.452995136075
Maine,m,75,2021-03-15,45.14456620198837,4.424859472547894,123.81825816850764,38548.663667361856
Maine,m,75,2021-04-15,45.14456620198837,-17.005283507682975,123.81825816850764,41579.11508694503
Maine,m,85,2020-03-15,0,0.22272614760146325,0.22272614760146325,1083.9456285768672
Maine,m,85,2020-04-15,0,10.400385253659437,10.400385253659437,2169.9710204179364
Maine,m,85,2020-05-15,0,0.7501622918991302,10.400385253659437,3258.080428741694
Maine,m,85,2020-06-15,0,-7.302660126915612,10.400385253659437,4348.268056530476
Maine,m,85,2020-07-15,0,-2.3268720752116963,15.376173305363352,5440.518056530473
Maine,m,85,2020-08-15,0,-1.9090213440320554,15.794024036542993,6534.806737601191
Maine,m,85,2020-09-15,0,18.24795589222083,35.95100127279588,7631.111390113356
Maine,m,85,2020-10-15,0,3.2144659428093973,35.95100127279588,8729.41249229837
Maine,m,85,2020-11-15,0,10.812911959749727,43.54944728973621,9829.693710248324
Maine,m,85,2020-12-15,0,23.521613666387935,56.258148996374416,10931.94189791599
Maine,m,85,2021-01-15,0,30.78110338914354,63.51763871913002,12036.147097114821
Maine,m,85,2021-02-15,0,10.16838774841571,63.51763871913002,13142.302537518959
Maine,m,85,2021-03-15,0,-19.471262686732757,63.51763871913002,14250.404636663225
Maine,m,85,2021-04-15,0,-50.03525432138508,63.51763871913002,15360.452999943122
Maine,t,0,2020-03-15,0,6.7398283938507575,6.7398283938507575,52622.379371986906
Maine,t,0,2020-04-15,0,-0.47145622981789614,6.7398283938507575,105212.76600841165
